RefseqId,GeneId,Chrom,TxStart,TxEnd,Strand,TotalReads,Rpkm
NM_001077237,BC003331,chr1,150361310,150393055,-,110,4.4766
NM_001077353,Gsta3,chr1,21240588,21265559,+,0,0
NM_001077403,Nrp2,chr1,62703316,62818692,+,0,0
NM_001077404,Nrp2,chr1,62703316,62818692,+,0,0
NM_001077405,Nrp2,chr1,62703316,62818692,+,5,0.0959319
NM_001077406,Nrp2,chr1,62703316,62797091,+,0,0
NM_001077407,Nrp2,chr1,62703316,62797091,+,5,0.136319
NM_001077425,Cntnap5a,chr1,115685136,116580674,+,0,0
NM_001077695,Ncoa2,chr1,13139158,13374083,-,121,1.93501
NM_001080126,Casp8,chr1,58802501,58847503,+,378,20.0645
NM_001080809,Cps1,chr1,67123065,67230448,+,0,0
NM_001081011,Srgap2,chr1,131285250,131527361,-,210,3.34408
NM_001081023,Cacna1s,chr1,136052900,136119822,+,0,0
NM_001081027,Kcnt2,chr1,140246256,140610261,+,29,0.938309
NM_001081050,Pard3b,chr1,61638823,62642284,+,71,1.0832
NM_001081078,Lct,chr1,128284763,128328318,-,0,0
NM_001081079,Ogfrl1,chr1,23366423,23383175,-,2,0.0528615
NM_001081080,Phf3,chr1,30802341,30863256,-,808,13.6819
NM_001081081,Gls,chr1,52163449,52233232,-,208,5.35499
NM_001081082,Alpi,chr1,87098001,87101606,-,0,0
NM_001081125,Gli2,chr1,118834060,119053619,-,0,0
NM_001081126,Gpr161,chr1,165295765,165321851,+,7,0.461253
NM_001081175,Itpkb,chr1,180330475,180423659,+,459,11.5205
NM_001081181,9430016H08Rik,chr1,57406547,57415958,+,38,3.67182
NM_001081197,Apobec4,chr1,152750550,152757544,+,0,0
NM_001081198,Tmem182,chr1,40805600,40855267,+,0,0
NM_001081209,Prdm14,chr1,13113427,13127163,-,0,0
NM_001081210,Mrpl44,chr1,79776017,79781445,+,126,11.3286
NM_001081226,2310009B15Rik,chr1,138851978,138856854,-,5,1.12111
NM_001081227,6330403A02Rik,chr1,180432372,180483504,-,0,0
NM_001081258,Kif14,chr1,136467957,136531511,+,141,2.05842
NM_001081259,Mfsd7b,chr1,191005831,191026190,-,6,0.187958
NM_001081275,1700009P17Rik,chr1,171121660,171126967,+,0,0
NM_001081276,Clasp1,chr1,118389057,118609462,+,49,0.801521
NM_001081290,Prrc2c,chr1,162671784,162740556,-,1935,23.7207
NM_001081304,Atf6,chr1,170704456,170867771,-,298,5.11231
NM_001081307,Ppp1r12b,chr1,134765942,134955940,-,93,3.79562
NM_001081316,Dsel,chr1,111858701,111864918,-,73,1.62177
NM_001081360,Camsap2,chr1,136268122,136346104,-,202,3.30592
NM_001081361,Marc1,chr1,184786766,184811313,-,1,0.059246
NM_001081363,Cenpf,chr1,189640613,189688086,-,34,0.39139
NM_001081386,Cdh19,chr1,110889194,110977372,-,0,0
NM_001081433,Ankrd44,chr1,54645339,54926387,-,20,0.417038
NM_001081436,Ino80d,chr1,63047800,63114267,-,313,2.98211
NM_001081456,Plcd4,chr1,74542888,74565977,+,0,0
NM_001081658,Dytn,chr1,63622850,63686927,-,0,0
NM_001081746,Gm7609,chr1,85199610,85213762,+,0,0
NM_001081756,Nckap5,chr1,125913635,126830632,-,0,0
NM_001082573,Crygc,chr1,65071524,65073532,-,0,0
NM_001083120,Enah,chr1,181904444,182019980,-,20,0.606924
NM_001083121,Enah,chr1,181904444,182019980,-,157,5.7645
NM_001083897,Mpzl1,chr1,165592180,165634541,-,648,35.2139
NM_001085370,Speg,chr1,75385609,75432304,+,0,0
NM_001085371,Speg,chr1,75382113,75404565,+,0,0
NM_001085376,Pappa2,chr1,158711730,158957438,-,0,0
NM_001085409,Steap3,chr1,120226415,120271082,-,0,0
NM_001097644,Ccnyl1,chr1,64691344,64725642,+,10,0.437712
NM_001098528,Kcnb2,chr1,15312451,15714214,+,192,4.63023
NM_001099276,Pik3c2b,chr1,133046011,133108688,+,129,2.08298
NM_001099637,Cep170,chr1,176733652,176807124,-,12,0.221698
NM_001101516,Gpr25,chr1,136258913,136260873,-,1,0.0653218
NM_001101647,Prlh,chr1,90953107,90954012,+,0,0
NM_001102430,Arfgef1,chr1,10137506,10232670,-,922,16.7629
NM_001103182,Lin9,chr1,180641333,180690687,+,15,0.645316
NM_001104529,Gpr35,chr1,92973118,92986391,+,0,0
NM_001105667,Dtymk,chr1,93792575,93801934,-,40,5.10591
NM_001109759,Fam71a,chr1,191162583,191164817,-,0,0
NM_001109985,Nos1ap,chr1,170317495,170589849,-,6,0.258387
NM_001110146,Prg4,chr1,150449411,150466165,-,0,0
NM_001110192,Inpp5d,chr1,87620311,87720508,+,22,0.570755
NM_001110193,Inpp5d,chr1,87620311,87720508,+,31,0.83469
NM_001110212,Gigyf2,chr1,87327028,87450810,+,315,7.08283
NM_001110227,Kcnj13,chr1,87386283,87394729,-,0,0
NM_001110315,Kif1a,chr1,93015455,93101865,-,1,0.0155509
NM_001110831,Dnpep,chr1,75308564,75317637,-,25,1.75963
NM_001111059,Cd34,chr1,194938820,194961292,+,0,0
NM_001111272,Stau2,chr1,16228809,16519302,-,61,2.83069
NM_001111279,Wdfy1,chr1,79702261,79761769,-,82,2.30686
NM_001111311,Lrrfip1,chr1,91053443,91117322,+,488,17.0614
NM_001111312,Lrrfip1,chr1,90998726,91128944,+,59,3.5868
NM_001111314,Ngef,chr1,87476828,87573870,-,368,15.1301
NM_001111316,Ptprc,chr1,138062858,138175126,-,8,0.183952
NM_001111320,Idh1,chr1,65158615,65186479,-,42,2.3533
NM_001112702,Tnni1,chr1,135799510,135810989,+,0,0
NM_001113187,Khdc1b,chr1,21383555,21386384,+,0,0
NM_001113367,Boll,chr1,55300068,55362707,-,0,0
NM_001113383,Gls,chr1,52185280,52233232,-,166,4.80948
NM_001113387,Myl1,chr1,66924295,66935366,-,0,0
NM_001113391,Cd247,chr1,165788680,165862112,+,1,0.0759375
NM_001113392,Cd247,chr1,165788680,165871153,+,0,0
NM_001113393,Cd247,chr1,165788680,165871153,+,0,0
NM_001113394,Cd247,chr1,165788680,165871153,+,0,0
NM_001113416,Epb4.1l5,chr1,119594823,119649000,-,286,13.1337
NM_001114102,Tyw5,chr1,57393320,57406674,-,8,1.44463
NM_001114609,Ino80d,chr1,63047800,63114267,-,336,3.17971
NM_001114662,Mfsd4,chr1,132036782,132068062,-,4,0.133435
NM_001114663,Plcl1,chr1,55405945,55754285,+,277,5.4103
NM_001115074,Gm101,chr1,119923518,119995210,-,0,0
NM_001122675,Zcchc2,chr1,105990405,106034079,+,137,2.63248
NM_001122676,Zcchc2,chr1,105990405,106034079,+,121,2.67052
NM_001122680,Pvrl4,chr1,171370172,171388287,+,0,0
NM_001122685,Rhbdd1,chr1,82339048,82445367,+,66,2.29122
NM_001122732,Spata3,chr1,86021941,86029958,+,0,0
NM_001122738,Kansl1l,chr1,66719242,66817595,-,0,0
NM_001123382,Il1r1,chr1,40266585,40316177,+,339,9.02712
NM_001126046,Fam178b,chr1,36562695,36683183,-,0,0
NM_001126047,Sema4c,chr1,36548639,36558381,-,214,7.19689
NM_001128605,Psen2,chr1,180227003,180256300,-,34,2.17979
NM_001128609,Dedd,chr1,171329144,171342501,+,37,1.73331
NM_001130174,Tnnt2,chr1,135836333,135852268,+,0,0
NM_001130175,Tnnt2,chr1,135836333,135852268,+,0,0
NM_001130176,Tnnt2,chr1,135840860,135852261,+,0,0
NM_001130177,Tnnt2,chr1,135836333,135852268,+,0,0
NM_001130178,Tnnt2,chr1,135836333,135852268,+,0,0
NM_001130179,Tnnt2,chr1,135836333,135852268,+,0,0
NM_001130180,Tnnt2,chr1,135836333,135852268,+,0,0
NM_001130181,Tnnt2,chr1,135836333,135852268,+,0,0
NM_001134741,Tdrd5,chr1,156255295,156303348,-,0,0
NM_001134829,Lpgat1,chr1,191718394,191784257,+,724,13.1183
NM_001136070,Eif2d,chr1,131153206,131173471,+,146,9.45976
NM_001136104,Abl2,chr1,156558786,156649619,+,210,2.58474
NM_001136222,Acsl3,chr1,78657824,78707743,+,28,1.05686
NM_001136226,Utp14b,chr1,78658439,78667601,+,0,0
NM_001142647,Tmem194b,chr1,52630704,52651919,+,0,0
NM_001142948,Pogk,chr1,166393611,166409828,-,0,0
NM_001143956,Mettl11b,chr1,163702992,163725232,-,0,0
NM_001144855,Ppfia4,chr1,134296782,134332928,-,11,0.232131
NM_001144992,2810459M11Rik,chr1,86045862,86055456,+,0,0
NM_001144993,2810459M11Rik,chr1,86045862,86055456,+,2,0.0769415
NM_001145300,4931440L10Rik,chr1,134540944,134547022,-,0,0
NM_001145660,Rfx8,chr1,39665300,39720989,-,0,0
NM_001145781,Acbd6,chr1,155558119,155587794,+,3,0.305562
NM_001145800,Igsf9,chr1,172482212,172498877,+,23,0.712142
NM_001145804,Nucks1,chr1,131910457,131936321,+,0,0
NM_001145806,Capn8,chr1,182565006,182606526,+,0,0
NM_001145807,Fam5c,chr1,146497686,146902472,+,0,0
NM_001146330,Gpr52,chr1,160576667,160577753,-,1,0.117892
NM_001159520,Pax3,chr1,78101266,78197136,-,0,0
NM_001159525,Pex19,chr1,172126754,172136497,+,65,2.91488
NM_001159624,Rnpep,chr1,135262698,135284084,-,0,0
NM_001159649,Lax1,chr1,133679028,133690108,-,5,0.269993
NM_001159658,Aqp12,chr1,93006333,93012269,+,0,0
NM_001159711,Ly96,chr1,16688455,16709605,+,0,0
NM_001159717,Sept2,chr1,93478992,93509732,+,80,3.18286
NM_001159718,Sept2,chr1,93478992,93509732,+,624,25.0364
NM_001159719,Sept2,chr1,93479060,93509732,+,255,9.99627
NM_001159725,Rab17,chr1,90958132,90967667,-,20,1.64247
NM_001159729,Rab23,chr1,33720418,33742564,+,16,0.486693
NM_001159730,Pdc,chr1,150319416,150333906,+,0,0
NM_001159731,Rxrg,chr1,167618264,167639623,+,0,0
NM_001159738,Ccl20,chr1,83116765,83119167,+,0,0
NM_001159745,St8sia4,chr1,95627242,95667594,-,0,0
NM_001159748,Serpinb8,chr1,107590005,107606150,+,22,2.28812
NM_001159750,Tcea1,chr1,4857693,4897909,+,77,3.69504
NM_001159751,Tcea1,chr1,4858327,4897909,+,21,1.04861
NM_001159769,Nr5a2,chr1,136843583,136953630,-,0,0
NM_001159850,Kcnk2,chr1,189207929,189343353,-,0,0
NM_001159864,Kctd18,chr1,57955100,57970084,-,12,0.587521
NM_001159865,Kctd18,chr1,57955100,57970084,-,0,0
NM_001159866,Uchl5,chr1,143777277,143807466,+,0,0
NM_001159883,Dnajb2,chr1,75236422,75245692,+,102,4.27747
NM_001159884,Dnajb2,chr1,75236422,75245692,+,12,0.822027
NM_001159885,Dnajb2,chr1,75236701,75245692,+,89,5.98463
NM_001159905,Zfand2b,chr1,75168645,75171626,+,128,13.6225
NM_001159906,Zfand2b,chr1,75168645,75171626,+,0,0
NM_001159930,Cenpl,chr1,161070891,161086343,+,6,0.429153
NM_001159940,2310007B03Rik,chr1,93151354,93160870,-,23,1.27919
NM_001159948,Als2,chr1,59162755,59237093,-,122,2.33793
NM_001159965,Ralgps2,chr1,156804165,156939626,-,0,0
NM_001159966,Ralgps2,chr1,156804165,156939387,-,2427,45.0988
NM_001159967,Ralgps2,chr1,156804165,156939626,-,0,0
NM_001159968,Ralgps2,chr1,156804165,156939626,-,0,0
NM_001159986,Sec16b,chr1,157526169,157568424,+,0,0
NM_001160018,Tor1aip1,chr1,156004598,156036480,-,0,0
NM_001160019,Tor1aip1,chr1,156004598,156034817,-,150,5.16808
NM_001160038,Ndufs1,chr1,63143591,63176822,-,38,1.66217
NM_001160039,Ndufs1,chr1,63143591,63176822,-,46,2.12691
NM_001160040,Ndufs1,chr1,63143591,63176822,-,98,4.44456
NM_001160049,Dusp27,chr1,166098147,166127898,-,0,0
NM_001160139,Kcnq5,chr1,21398402,21961942,-,0,0
NM_001160145,Tmem9,chr1,136008218,136035030,+,15,1.20405
NM_001160146,Tmem9,chr1,136018155,136035030,+,15,1.28803
NM_001160163,Neu2,chr1,87574026,87597840,+,5,0.372832
NM_001160164,Neu2,chr1,87574026,87597840,+,3,0.237828
NM_001160165,Neu2,chr1,87584021,87597840,+,3,0.220363
NM_001160180,Tor1aip2,chr1,156035726,156053736,+,0,0
NM_001160181,Tor1aip2,chr1,156040860,156053736,+,0,0
NM_001160182,Tor1aip2,chr1,156036035,156053736,+,155,7.70371
NM_001160208,Blzf1,chr1,164289799,164307484,-,84,2.73862
NM_001160209,Blzf1,chr1,164289799,164307484,-,15,0.47844
NM_001160211,Cnih3,chr1,181352627,181460641,+,0,0
NM_001160212,Cnih3,chr1,181352627,181460641,+,2,0.10137
NM_001160215,Fcrla,chr1,170917593,170927583,-,0,0
NM_001160235,Fam168b,chr1,34813217,34843050,-,69,1.74622
NM_001160236,Fam168b,chr1,34813217,34843050,-,89,2.25907
NM_001160251,Zfp281,chr1,136624900,136630391,+,90,2.18441
NM_001160256,Smg7,chr1,152836994,152902646,-,0,0
NM_001160257,Smg7,chr1,152836994,152878168,-,157,3.46985
NM_001160261,Fam78b,chr1,167001416,167091302,+,0,0
NM_001160262,Fam78b,chr1,167001416,167091302,+,0,0
NM_001160268,Plekha6,chr1,133246096,133303435,+,45,0.81318
NM_001160303,Gm4788,chr1,139697918,139781239,-,0,0
NM_001160304,Gm4788,chr1,139697918,139781239,-,0,0
NM_001160307,Serpinb10,chr1,107529002,107549271,+,0,0
NM_001160316,Nfasc,chr1,132564689,132642858,-,0,0
NM_001160317,Nfasc,chr1,132564689,132741797,-,0,0
NM_001160318,Nfasc,chr1,132564689,132707326,-,0,0
NM_001160359,A130010J15Rik,chr1,193173576,193177832,+,0,0
NM_001160360,A130010J15Rik,chr1,193173468,193177832,+,130,4.58512
NM_001160368,Rnf152,chr1,105276916,105356710,-,0,0
NM_001160369,A830018L16Rik,chr1,11414104,11975902,+,0,0
NM_001160370,A830018L16Rik,chr1,11414104,11601821,+,0,0
NM_001160371,A830018L16Rik,chr1,11414104,11601821,+,0,0
NM_001160386,Dnah7b,chr1,46066737,46373550,+,3,0.0311814
NM_001160420,Optc,chr1,133897193,133907999,-,0,0
NM_001160421,Optc,chr1,133897193,133907173,-,0,0
NM_001160422,Optc,chr1,133900833,133907173,-,0,0
NM_001161665,Kif26b,chr1,178529124,178932857,+,6,0.103725
NM_001161816,Gm15455,chr1,33835898,33838914,-,1,0.0424505
NM_001161817,Myo1b,chr1,51749765,51915974,-,0,0
NM_001161842,Il18r1,chr1,40465551,40491578,+,23,1.5345
NM_001161843,Il18r1,chr1,40465620,40491580,+,37,2.64202
NM_001162415,Pfkfb2,chr1,130689042,130729253,-,71,2.46413
NM_001162416,Pfkfb2,chr1,130697016,130714576,-,9,0.483743
NM_001162896,4930523C07Rik,chr1,160044379,160078586,+,1,0.0317379
NM_001162938,Pydc3,chr1,173673679,173698392,+,0,0
NM_001163131,Elf3,chr1,135253573,135258472,-,349,22.3414
NM_001163290,Adck3,chr1,180165237,180193485,-,0,0
NM_001163314,Pgap1,chr1,54472999,54557684,-,82,0.992392
NM_001163421,Tatdn3,chr1,191045829,191062932,-,5,0.510489
NM_001163422,Tatdn3,chr1,191045829,191062932,-,0,0
NM_001163425,Myeov2,chr1,92637144,92641985,-,39,11.4
NM_001163754,Rab3gap2,chr1,185204167,185286746,+,784,14.3641
NM_001164059,Sell,chr1,164062075,164080785,+,0,0
NM_001164233,Slco6d1,chr1,98421123,98509380,+,0,0
NM_001164286,Gm5415,chr1,32543545,32547293,-,0,0
NM_001164306,Gm4846,chr1,166483612,166497588,-,0,0
NM_001164312,Gm4847,chr1,166628970,166647693,-,0,0
NM_001164525,Tstd1,chr1,171419032,171420352,+,3,0.697082
NM_001164528,Ildr2,chr1,166254138,166316832,+,0,0
NM_001164566,Spats2l,chr1,57845570,57948397,+,0,0
NM_001164682,Mpp4,chr1,59120934,59163389,-,0,0
NM_001164725,Fcrl6,chr1,172596639,172602551,-,0,0
NM_001166501,Dennd1b,chr1,138963708,139176042,+,86,1.34194
NM_001166552,Zbed6,chr1,133655878,133660885,-,2383,60.9341
NM_001166728,Vmn1r1,chr1,182157177,182158098,-,0,0
NM_001167949,Atp2b4,chr1,133702673,133753747,-,0,0
NM_001168392,Ramp1,chr1,91179821,91206790,+,0,0
NM_001170632,Fcamr,chr1,130800901,130814740,+,0,0
NM_001170641,Rufy4,chr1,74125540,74148230,+,0,0
NM_001170853,Mndal,chr1,173857219,173880187,-,6,0.402612
NM_001172074,3110009E18Rik,chr1,120121186,120188189,+,5,0.635703
NM_001172157,Dis3l2,chr1,86703803,87050097,+,0,0
NM_001172205,Arid5a,chr1,36307732,36324029,+,0,0
NM_001172206,Arid5a,chr1,36307732,36324029,+,53,1.1913
NM_001173477,Speg,chr1,75400084,75404565,+,0,0
NM_001174170,Serpinb2,chr1,107511422,107525600,+,1,0.0649243
NM_001177348,Gm3646,chr1,39804140,39805332,-,0,0
NM_001177349,Pydc4,chr1,173591956,173599274,-,0,0
NM_001177350,Pydc4,chr1,173591956,173599274,-,0,0
NM_001177364,Mroh2a,chr1,88227019,88262289,+,27,0.459318
NM_001177581,7420461P10Rik,chr1,162647242,162658219,-,0,0
NM_001177600,Adam23,chr1,63445903,63573219,+,0,0
NM_001177628,Slc45a3,chr1,131962914,131982972,+,7,0.274323
NM_001177658,Mrpl15,chr1,4773199,4785726,-,79,2.40762
NM_001177794,Sertad4,chr1,192844487,192851747,-,12,0.497046
NM_001177795,Rgs20,chr1,4909575,5070285,-,0,0
NM_001177867,Sgol2,chr1,57985339,58025897,+,23,0.682118
NM_001177900,Rd3,chr1,191977372,191988282,+,0,0
NM_001178038,Fmo6,chr1,162916550,162937225,-,3,0.205397
NM_001190444,Aamp,chr1,74279839,74284738,-,0,0
NM_001190984,Lancl1,chr1,67000516,67038834,-,0,0
NM_001190985,Lancl1,chr1,67000516,67038872,-,49,1.4063
NM_001195025,Nuak2,chr1,132316124,132333488,+,0,0
NM_001195189,4930469G21Rik,chr1,161156842,161159314,-,0,0
NM_001195662,Rp1,chr1,4290845,4409241,-,1,0.0420186
NM_001195732,Fam150a,chr1,6359330,6394731,+,0,0
NM_001195816,Pld5,chr1,175962305,176213942,-,0,0
NM_001198565,Sulf1,chr1,12692429,12860372,+,0,0
NM_001198566,Sulf1,chr1,12692429,12860372,+,0,0
NM_001198570,Abi2,chr1,60409618,60481163,+,0,0
NM_001198571,Abi2,chr1,60409618,60481163,+,0,0
NM_001198573,Usp40,chr1,87945120,88008551,-,348,8.38124
NM_001198955,Gm7694,chr1,170298192,170306332,-,21,0.701446
NM_001199003,Rgs7,chr1,175059075,175492545,-,0,0
NM_001199020,Angel2,chr1,190925107,190946491,+,0,0
NM_001199060,Wdr12,chr1,60076867,60098500,-,19,0.783188
NM_001199061,Wdr12,chr1,60076867,60098134,-,8,0.360904
NM_001199213,Serpinb12,chr1,106938956,106957080,+,0,0
NM_001199956,Gm9839,chr1,32519562,32520999,-,0,0
NM_001204371,Oprk1,chr1,5588492,5606133,+,0,0
NM_001204904,4930558K02Rik,chr1,161942088,161979636,-,0,0
