bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
14	NM_001164359	chr19	-	44034942	44069775	44036926	44069384	12	44034942,44039172,44040746,44047634,44049121,44056121,44059050,44061842,44063018,44067599,44069271,44069588,	44037148,44039252,44040836,44047726,44049180,44056195,44059176,44061904,44063065,44067681,44069395,44069775,	0	Erlin1	cmpl	cmpl	0,1,1,2,0,1,1,2,0,2,0,-1,
77	NM_021287	chr19	+	4711207	4753978	4718840	4751728	37	4711207,4718818,4724079,4724629,4725900,4726139,4726581,4729061,4729301,4731273,4731925,4732387,4733653,4734038,4737341,4737810,4739106,4739590,4739852,4742332,4744047,4744465,4745108,4745457,4745779,4746565,4747711,4748058,4748593,4748937,4749401,4749633,4749782,4750020,4750480,4751148,4751500,	4711644,4718997,4724231,4724803,4725992,4726220,4726697,4729174,4729489,4731391,4732084,4732690,4733807,4734909,4737479,4738567,4739309,4739681,4739999,4742596,4744272,4744555,4745369,4745588,4745984,4746940,4747956,4748197,4748678,4749134,4749544,4749709,4749833,4750241,4750654,4751191,4753978,	0	Sptbn2	cmpl	cmpl	-1,0,1,0,0,2,2,1,0,2,0,0,0,1,2,2,0,2,0,0,0,0,0,0,2,0,0,2,0,1,0,2,0,0,2,2,0,
115	NM_001081225	chr19	+	44931118	44983785	44931310	44980591	20	44931118,44934111,44934932,44938364,44941458,44943448,44947929,44948971,44952068,44959004,44960733,44966966,44967502,44969036,44971597,44973133,44973607,44975628,44979160,44980555,	44931450,44934155,44935666,44938419,44942426,44943519,44948052,44949139,44952171,44959080,44960875,44967069,44967679,44969134,44971685,44973265,44973685,44975715,44979229,44983785,	0	Slf2	cmpl	cmpl	0,2,1,0,1,0,2,2,2,0,1,2,0,0,2,0,0,0,0,0,
775	NR_033744	chr19	-	24919915	24961616	24961616	24961616	15	24919915,24921020,24922596,24922755,24928326,24931663,24938395,24940748,24942682,24948068,24949201,24953259,24955335,24957903,24961316,	24920702,24921150,24922662,24922824,24928375,24931720,24938440,24940835,24942729,24948106,24949261,24953351,24955432,24957990,24961616,	0	Cbwd1	unk	unk	-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
86	NM_001302950	chr19	-	14448071	14598183	14449733	14597412	19	14448071,14451642,14452063,14452419,14453578,14454740,14464308,14464743,14465285,14466548,14467179,14468151,14516358,14517771,14564388,14594383,14595589,14596756,14597367,	14449841,14451719,14452214,14452567,14453826,14454990,14464385,14464937,14465418,14466701,14467233,14468271,14516375,14517976,14564451,14594428,14595653,14596854,14598183,	0	Tle4	cmpl	cmpl	0,1,0,2,0,2,0,1,0,0,0,0,1,0,0,0,2,0,0,
651	NM_001276704	chr19	+	8757116	8770910	8757231	8765275	20	8757116,8762311,8762682,8763532,8763696,8763915,8764079,8764260,8764498,8764921,8767079,8767227,8767366,8767572,8767729,8767973,8768588,8769000,8770259,8770573,	8757259,8762495,8762836,8763616,8763801,8763996,8764149,8764349,8764606,8766833,8767148,8767283,8767474,8767631,8767845,8768016,8768661,8769183,8770320,8770910,	0	Nxf1	cmpl	cmpl	0,1,2,0,0,0,0,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
1037	NM_001033222	chr19	-	59296083	59345780	59299522	59345587	5	59296083,59305157,59315257,59327750,59344718,	59301708,59305320,59315360,59327873,59345780,	0	Pdzd8	cmpl	cmpl	1,0,2,2,0,
80	NM_001271486	chr19	-	7425894	7483291	7427829	7483083	9	7425894,7429750,7430985,7431965,7432451,7434930,7456299,7467810,7482938,	7427875,7429809,7431032,7432035,7432590,7435138,7457460,7467867,7483291,	0	Rtn3	cmpl	cmpl	2,0,1,0,2,1,1,1,0,
108	NM_001290829	chr19	-	37021290	37198108	37024859	37174974	10	37021290,37044521,37054259,37068172,37087537,37088419,37126331,37139130,37173966,37197988,	37025087,37044703,37054374,37068291,37087627,37088587,37126388,37139221,37174985,37198108,	0	Cpeb3	cmpl	cmpl	0,1,0,1,1,1,1,0,0,-1,
108	NM_001290828	chr19	-	37021290	37207471	37024859	37174974	11	37021290,37044521,37054259,37068172,37087537,37088419,37105790,37126331,37139130,37173966,37207232,	37025087,37044703,37054374,37068291,37087627,37088587,37105814,37126388,37139221,37174985,37207471,	0	Cpeb3	cmpl	cmpl	0,1,0,1,1,1,1,1,0,0,-1,
108	NM_001290827	chr19	-	37021290	37207471	37024859	37174974	11	37021290,37044521,37054259,37068172,37087537,37088419,37105790,37126331,37139061,37173966,37207294,	37025087,37044703,37054374,37068291,37087627,37088587,37105814,37126388,37139221,37174985,37207471,	0	Cpeb3	cmpl	cmpl	0,1,0,1,1,1,1,1,0,0,-1,
673	NM_013516	chr19	-	11615520	11623719	11617472	11623621	7	11615520,11618415,11618853,11619616,11622042,11622682,11623559,	11617571,11618514,11619009,11619673,11622177,11622782,11623719,	0	Ms4a2	cmpl	cmpl	0,0,0,0,0,2,0,
631	NM_026912	chr19	-	6119398	6128260	6119862	6128147	8	6119398,6120485,6121378,6121782,6122039,6123829,6124152,6128048,	6119954,6120743,6121522,6121930,6122155,6123950,6124188,6128260,	0	Snx15	cmpl	cmpl	1,1,1,0,1,0,0,0,
907	NM_027694	chr19	+	42255738	42270348	42256171	42268462	5	42255738,42263328,42266750,42266976,42268351,	42256183,42263454,42266903,42267078,42270348,	0	Golga7b	cmpl	cmpl	0,0,0,0,0,
621	NM_009032	chr19	-	4784292	4793901	4787368	4792809	4	4784292,4787360,4792397,4793671,	4785567,4788042,4792820,4793901,	0	Rbm4	cmpl	cmpl	-1,1,0,-1,
727	NM_001377052	chr19	+	18670758	18707201	18671388	18704121	8	18670758,18677687,18679103,18690229,18691416,18693648,18703360,18704019,	18671435,18677883,18679267,18690370,18691595,18693762,18703464,18707201,	0	Carnmt1	cmpl	cmpl	0,2,0,2,2,1,1,0,
709	NR_105832	chr19	-	16314891	16315004	16315004	16315004	1	16314891,	16315004,	0	Mir496b	unk	unk	-1,
627	NM_001033448	chr19	+	5568023	5571261	5568457	5571184	2	5568023,5568703,	5568607,5571261,	0	Ap5b1	cmpl	cmpl	0,0,
620	NM_001033447	chr19	-	4625840	4698668	4625840	4698668	15	4625840,4627168,4637217,4642112,4645599,4649672,4652124,4658257,4659426,4660233,4663531,4672057,4692451,4696003,4698176,	4626190,4627247,4637316,4642223,4645721,4649819,4652273,4658455,4659498,4660289,4663615,4672167,4692505,4696142,4698668,	0	Gm960	cmpl	cmpl	1,0,0,0,1,1,2,2,2,0,0,1,1,0,0,
645	NM_001361980	chr19	-	7864388	7966027	7864776	7926770	9	7864388,7865741,7866882,7879389,7880163,7896757,7925857,7926368,7965961,	7864837,7865945,7866991,7879604,7880279,7896878,7925961,7926811,7966027,	0	Slc22a27	cmpl	cmpl	2,2,1,2,0,2,0,0,-1,
629	NM_001361974	chr19	+	5877821	5885768	5880460	5884991	6	5877821,5879848,5880084,5880439,5884344,5884722,	5878095,5879892,5880156,5880625,5884603,5885768,	0	Slc25a45	cmpl	cmpl	-1,-1,-1,0,0,1,
629	NM_001361973	chr19	+	5877821	5885768	5878654	5884991	7	5877821,5878606,5879848,5880084,5880439,5884344,5884722,	5878095,5878691,5879892,5880156,5880625,5884603,5885768,	0	Slc25a45	cmpl	cmpl	-1,0,1,0,0,0,1,
682	NM_001361971	chr19	+	12796192	12833813	12819405	12833354	9	12796192,12803932,12811219,12819335,12823943,12824798,12825089,12832607,12833084,	12796298,12804090,12811266,12819435,12824111,12824972,12825171,12832756,12833813,	0	Lpxn	cmpl	cmpl	-1,-1,-1,0,0,0,0,1,0,
666	NM_001361964	chr19	+	10700767	10714628	10706215	10713234	5	10700767,10706209,10710269,10711270,10712523,	10700913,10706308,10710441,10711353,10714628,	0	Vps37c	cmpl	cmpl	-1,0,0,1,0,
666	NM_001361962	chr19	+	10688734	10714628	10706215	10713234	5	10688734,10706209,10710269,10711270,10712523,	10688896,10706308,10710441,10711353,10714628,	0	Vps37c	cmpl	cmpl	-1,0,0,1,0,
666	NM_001361961	chr19	+	10688734	10714628	10706215	10713234	5	10688734,10706209,10710269,10711270,10712523,	10688809,10706308,10710441,10711353,10714628,	0	Vps37c	cmpl	cmpl	-1,0,0,1,0,
906	NM_027106	chr19	-	42123274	42128993	42123688	42125016	3	42123274,42124747,42128870,	42123848,42125026,42128993,	0	Avpi1	cmpl	cmpl	2,0,-1,
651	NM_001177347	chr19	+	8740717	8741225	8740767	8741156	2	8740717,8740974,	8740846,8741225,	0	1700092M07Rik	cmpl	cmpl	0,1,
807	NM_021525	chr19	+	29101374	29143843	29101504	29143292	9	29101374,29115722,29118224,29121269,29121765,29127998,29130649,29134399,29143141,	29101640,29115794,29118400,29121344,29121890,29128124,29130806,29134503,29143843,	0	Rcl1	cmpl	cmpl	0,1,1,0,0,2,2,0,2,
92	NM_001361506	chr19	+	20492582	20643463	20602011	20642966	16	20492582,20493394,20553098,20601997,20610912,20617879,20619968,20621668,20623324,20624711,20629053,20630665,20634348,20636667,20640063,20642893,	20492821,20493524,20553200,20602077,20611017,20618020,20620098,20621730,20623453,20624825,20629156,20630850,20634513,20636825,20640138,20643463,	0	Aldh1a1	cmpl	cmpl	-1,-1,-1,0,0,0,0,1,0,0,0,1,0,0,2,2,
651	NM_001167799	chr19	+	8741423	8755642	8742272	8755068	11	8741423,8742253,8742853,8743079,8743352,8748460,8748654,8748806,8749665,8749905,8754908,	8741575,8742497,8742924,8743135,8743423,8748577,8748711,8748888,8749772,8750027,8755642,	0	Stx5a	cmpl	cmpl	-1,0,0,2,1,0,0,0,1,0,2,
109	NM_001302140	chr19	-	37899035	38043577	37899728	38043323	54	37899035,37901236,37901823,37903676,37905277,37907586,37910893,37911089,37913336,37915605,37916392,37920718,37921335,37922957,37924605,37926982,37930985,37932602,37934759,37935846,37936060,37936313,37937863,37939299,37939844,37942217,37943442,37945630,37949550,37951426,37952942,37954366,37956442,37959713,37960919,37967015,37968327,37969906,37972174,37974583,37974857,37977649,37980348,37981222,37981877,37982959,37983088,37985960,37986648,37995421,37998215,38022552,38024341,38043235,	37899767,37901384,37901933,37903867,37905377,37907728,37910989,37911178,37913476,37915754,37916563,37920810,37921491,37923083,37924704,37926994,37931062,37932768,37934921,37935945,37936219,37936495,37937941,37939408,37940018,37942363,37943548,37945745,37949714,37951558,37953098,37954559,37956549,37959838,37961097,37967132,37968452,37969945,37972257,37974627,37974926,37977753,37980475,37981338,37981908,37983010,37983151,37986089,37986815,37995509,37998324,38022644,38024397,38043577,	0	Myof	cmpl	cmpl	0,2,0,1,0,2,2,0,1,2,2,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,2,0,0,0,2,0,1,0,0,1,1,2,0,0,1,0,1,0,0,0,0,1,0,2,0,1,0,
653	NM_009073	chr19	-	8927381	8929356	8927668	8929173	3	8927381,8927977,8928583,	8927887,8928224,8929356,	0	Rom1	cmpl	cmpl	0,2,0,
932	NM_001330506	chr19	-	45552275	45560564	45552805	45559691	10	45552275,45553508,45555090,45555921,45557714,45558255,45558624,45559579,45560196,45560485,	45553170,45553677,45555219,45556095,45558032,45558415,45558919,45559716,45560364,45560564,	0	Poll	cmpl	cmpl	1,0,0,0,0,2,1,0,-1,-1,
806	NM_001302443	chr19	+	28990366	29020237	28990537	29015892	7	28990366,28995040,28999260,29006971,29007572,29011888,29015841,	28990669,28995322,28999351,29007087,29007695,29012053,29020237,	0	Cdc37l1	cmpl	cmpl	0,0,0,1,0,0,0,
775	NR_105743	chr19	-	24942235	24942303	24942303	24942303	1	24942235,	24942303,	0	Mir3084-2	unk	unk	-1,
1048	NR_105743	chr19	-	60774330	60774397	60774397	60774397	1	60774330,	60774397,	0	Mir3084-2	unk	unk	-1,
616	NM_001078649	chr19	+	4125959	4132307	4126025	4131444	8	4125959,4126041,4127056,4127549,4127759,4131030,4131228,4131361,	4126040,4126200,4127121,4127639,4127836,4131075,4131282,4132307,	0	Tmem134	cmpl	cmpl	0,0,0,2,2,1,1,1,
13	NM_021315	chr19	-	38788127	38819237	38789544	38819101	21	38788127,38790287,38792700,38794104,38794971,38795485,38795637,38795796,38798897,38799309,38804398,38807086,38807525,38810007,38810297,38812343,38814080,38814685,38815582,38817937,38819092,	38789697,38790372,38792798,38794233,38795153,38795557,38795701,38795869,38798998,38799390,38804530,38807215,38807701,38810101,38810459,38812474,38814134,38814843,38815715,38818145,38819237,	0	Noc3l	cmpl	cmpl	0,2,0,0,1,1,0,2,0,0,0,0,1,0,0,1,1,2,1,0,0,
99	NM_177474	chr19	-	27388697	27429908	27390180	27427121	18	27388697,27394237,27396294,27398881,27399678,27412181,27415885,27416734,27418794,27420017,27421296,27422354,27422653,27423505,27424208,27425795,27427036,27429791,	27390313,27394328,27396382,27399104,27399821,27412262,27415939,27416833,27418873,27420121,27421471,27422421,27422747,27423581,27424344,27426014,27427128,27429908,	0	Pum3	cmpl	cmpl	2,1,0,2,0,0,0,0,2,0,2,1,0,2,1,1,0,-1,
126	NM_198059	chr19	-	56320040	56390038	56320194	56389877	41	56320040,56320884,56321722,56323887,56327194,56328500,56328995,56335025,56336042,56336481,56338036,56340518,56342138,56344011,56344660,56345459,56347128,56350288,56351431,56354119,56355481,56357290,56361111,56361653,56363925,56364301,56365391,56366374,56371822,56372806,56378054,56379059,56379815,56380205,56381499,56382259,56384058,56385984,56388748,56389389,56389805,	56320302,56321016,56322034,56323995,56327299,56328599,56329100,56335337,56336150,56336586,56338135,56340623,56342336,56344125,56344768,56345564,56347227,56350393,56351743,56354227,56355586,56357389,56361216,56361851,56364027,56364409,56365496,56366473,56371927,56372914,56378171,56379164,56379917,56380313,56381604,56382364,56384163,56386083,56388836,56389484,56390038,	0	Nrap	cmpl	cmpl	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
989	NR_105834	chr19	-	53010655	53010756	53010756	53010756	1	53010655,	53010756,	0	Mir6407	unk	unk	-1,
663	NM_198114	chr19	-	10245264	10304877	10247663	10271588	20	10245264,10250368,10251066,10252038,10253329,10253716,10254806,10255660,10256123,10256296,10256817,10260650,10262493,10263093,10265007,10269186,10269716,10270987,10271493,10304820,	10248624,10250556,10251196,10252238,10253402,10253785,10254949,10255741,10256201,10256380,10256971,10260775,10262571,10263228,10265095,10269325,10269818,10271199,10271631,10304877,	0	Dagla	cmpl	cmpl	2,0,2,0,2,2,0,0,0,0,2,0,0,0,2,1,1,2,0,-1,
665	NM_001282067	chr19	+	10577447	10590041	10582312	10588548	9	10577447,10577733,10578981,10580462,10582297,10585181,10586690,10587821,10588524,	10577563,10578083,10579074,10580562,10582496,10585390,10586845,10587978,10590041,	0	Cyb561a3	cmpl	cmpl	-1,-1,-1,-1,0,1,0,2,0,
640	NM_027643	chr19	-	7225667	7241222	7227949	7240943	8	7225667,7228351,7229721,7229947,7230187,7234103,7235062,7240937,	7228091,7228429,7229805,7230106,7230283,7234156,7235158,7241222,	0	Naa40	cmpl	cmpl	2,2,2,2,2,0,0,0,
630	NM_026772	chr19	-	5917555	5924816	5918030	5918675	2	5917555,5924763,	5918993,5924816,	0	Cdc42ep2	cmpl	cmpl	0,-1,
101	NM_172836	chr19	-	29714401	29806009	29716007	29805874	8	29714401,29720585,29723389,29735115,29743532,29753599,29786248,29805281,	29719606,29720773,29723505,29735205,29743612,29755017,29786449,29806009,	0	9930021J03Rik	cmpl	cmpl	1,2,0,0,1,2,2,0,
932	NM_172639	chr19	+	45560584	45578289	45560643	45577575	6	45560584,45564910,45571884,45572404,45576992,45577470,	45560707,45564991,45572009,45572538,45577095,45578289,	0	Dpcd	cmpl	cmpl	0,1,1,0,2,0,
107	NM_172637	chr19	+	36554638	36621135	36554783	36618844	21	36554638,36569372,36583935,36584895,36585443,36587365,36595208,36597076,36598886,36599595,36601431,36604249,36605167,36606385,36609264,36611363,36612143,36612316,36614347,36615499,36618723,	36554915,36569502,36584074,36584998,36585533,36587430,36595254,36597186,36599035,36599719,36601528,36604357,36605300,36606474,36609423,36611438,36612231,36612423,36614463,36615643,36621135,	0	Hectd2	cmpl	cmpl	0,0,1,2,0,0,2,0,2,1,2,0,0,1,0,0,0,1,0,2,2,
77	NM_001162946	chr19	+	4510471	4621752	4515687	4621288	21	4510471,4515653,4601599,4601864,4602209,4602473,4602757,4603059,4604464,4607531,4609863,4617579,4617964,4618141,4618957,4619319,4619779,4620113,4620366,4620819,4621039,	4510581,4515690,4601735,4602049,4602375,4602619,4602875,4603211,4604583,4607694,4610046,4617724,4618054,4618520,4619198,4619569,4620024,4620293,4620615,4620960,4621752,	0	Pcx	cmpl	cmpl	-1,0,0,1,0,1,0,1,0,2,0,0,1,1,2,0,1,0,0,0,0,
77	NM_008451	chr19	-	5107745	5118298	5108604	5117421	16	5107745,5109102,5109300,5109492,5109732,5110196,5110366,5111137,5111364,5111618,5111825,5112717,5113780,5113940,5117193,5118121,	5108688,5109160,5109425,5109642,5109841,5110264,5110416,5111237,5111538,5111720,5111913,5112940,5113850,5114171,5117432,5118298,	0	Klc2	cmpl	cmpl	0,2,0,0,2,0,1,0,0,0,2,1,0,0,0,-1,
875	NM_001360663	chr19	+	38054983	38074424	38057800	38073498	10	38054983,38057409,38057788,38060080,38062602,38069079,38069639,38071070,38071764,38073297,	38055081,38057480,38057983,38060356,38062671,38069230,38069950,38071142,38071890,38074424,	0	Cep55	cmpl	cmpl	-1,-1,0,0,0,0,1,0,0,0,
638	NM_008020	chr19	-	6977736	6980464	6977872	6979137	6	6977736,6978010,6978389,6978557,6978972,6980393,	6977934,6978046,6978436,6978670,6979177,6980464,	0	Fkbp2	cmpl	cmpl	1,1,2,0,0,-1,
682	NM_170786	chr19	-	12763527	12765632	12763897	12765394	2	12763527,12765280,	12764380,12765632,	0	Cntf	cmpl	cmpl	0,0,
130	NM_030197	chr19	-	60524695	60581023	60529046	60580718	9	60524695,60529464,60534135,60537413,60543009,60545445,60563161,60564167,60580327,	60529087,60529508,60534274,60537503,60543112,60545541,60563264,60564294,60581023,	0	Cacul1	cmpl	cmpl	1,2,1,1,0,0,2,1,0,
621	NM_001290127	chr19	-	4784292	4811634	4787368	4811508	4	4784292,4787360,4792397,4811171,	4785567,4788042,4792820,4811634,	0	Gm21992	cmpl	cmpl	-1,1,1,0,
628	NM_001164480	chr19	-	5651184	5663707	5651415	5660980	17	5651184,5651635,5651905,5652044,5652260,5652454,5652654,5653998,5654546,5655257,5655687,5656153,5659333,5659595,5660313,5661595,5663603,	5651562,5651714,5651960,5652146,5652369,5652566,5652873,5654273,5655156,5655415,5655791,5656328,5659510,5659723,5661111,5661626,5663707,	0	Sipa1	cmpl	cmpl	0,2,1,1,0,2,2,0,2,0,1,0,0,1,0,-1,-1,
938	NM_001164291	chr19	-	46329811	46338660	46330687	46332691	9	46329811,46330919,46331051,46331289,46331545,46331756,46331912,46332617,46338568,	46330834,46330980,46331113,46331466,46331673,46331818,46332056,46332701,46338660,	0	Cuedc2	cmpl	cmpl	0,2,0,0,1,2,2,0,-1,
938	NM_001164290	chr19	-	46329811	46338660	46330687	46332691	10	46329811,46330919,46331051,46331289,46331545,46331756,46331912,46332617,46338312,46338568,	46330834,46330980,46331113,46331466,46331673,46331818,46332056,46332701,46338420,46338660,	0	Cuedc2	cmpl	cmpl	0,2,0,0,1,2,2,0,-1,-1,
610	NR_105950	chr19	+	3288919	3288983	3288983	3288983	1	3288919,	3288983,	0	Mir6984	unk	unk	-1,
675	NM_146410	chr19	+	11896022	11896952	11896022	11896952	1	11896022,	11896952,	0	Olfr1420	cmpl	cmpl	0,
868	NM_001164336	chr19	+	37207544	37221076	37207869	37220820	5	37207544,37210670,37217182,37220302,37220638,	37207904,37210873,37217313,37220486,37221076,	0	Marchf5	cmpl	cmpl	0,2,1,0,1,
661	NM_001347430	chr19	+	10018193	10035587	10018348	10034539	9	10018193,10026529,10027383,10027559,10030149,10030368,10032352,10033743,10034456,	10018359,10026785,10027479,10027637,10030278,10030481,10032452,10033810,10035587,	0	Rab3il1	cmpl	cmpl	0,2,0,0,0,0,2,0,1,
637	NM_001177360	chr19	-	6938056	6941193	6938369	6940839	5	6938056,6938755,6939011,6939260,6940482,	6938529,6938874,6939140,6939410,6941193,	0	Gpr137	cmpl	cmpl	2,0,0,0,0,
727	NM_026120	chr19	+	18670758	18707201	18670999	18704121	8	18670758,18677687,18679103,18690229,18691416,18693648,18703360,18704019,	18671202,18677883,18679267,18690370,18691595,18693762,18703464,18707201,	0	Carnmt1	cmpl	cmpl	0,2,0,2,2,1,1,0,
806	NM_021299	chr19	-	29020831	29047961	29022825	29047829	5	29020831,29026211,29027170,29037871,29047678,	29022946,29026330,29027343,29037991,29047961,	0	Ak3	cmpl	cmpl	2,0,1,1,0,
916	NM_031396	chr19	+	43440412	43497210	43440444	43495038	11	43440412,43465120,43468240,43469608,43471848,43472376,43484844,43491420,43491763,43493709,43494958,	43442017,43465264,43468381,43469778,43471948,43472424,43485008,43491604,43491913,43493811,43497210,	0	Cnnm1	cmpl	cmpl	0,1,1,1,0,1,1,0,1,1,1,
620	NR_105952	chr19	-	4623897	4623955	4623955	4623955	1	4623897,	4623955,	0	Mir6986	unk	unk	-1,
629	NR_144621	chr19	-	5795923	5795981	5795981	5795981	1	5795923,	5795981,	0	Mascrna	unk	unk	-1,
629	NM_198634	chr19	-	5891137	5894128	5891687	5893100	2	5891137,5893969,	5893114,5894128,	0	Tigd3	cmpl	cmpl	0,-1,
896	NR_045343	chr19	+	40868315	40882639	40882639	40882639	5	40868315,40876298,40876736,40881596,40882353,	40868440,40876398,40876873,40881828,40882639,	0	E030044B06Rik	unk	unk	-1,-1,-1,-1,-1,
632	NM_001356604	chr19	+	6164438	6172475	6164514	6171995	3	6164438,6166467,6171308,	6164553,6166572,6172475,	0	Batf2	cmpl	cmpl	0,0,0,
830	NM_001168526	chr19	-	32122726	32211013	32124344	32160164	6	32122726,32125225,32129540,32142745,32159523,32210827,	32124524,32125392,32129694,32142863,32160363,32211013,	0	Sgms1	cmpl	cmpl	0,1,0,2,0,-1,
103	NM_001168525	chr19	-	32122726	32349316	32124344	32160164	10	32122726,32125225,32129540,32142745,32159523,32223508,32247993,32259975,32289540,32348692,	32124524,32125392,32129694,32142863,32160363,32223590,32248036,32260097,32289631,32349316,	0	Sgms1	cmpl	cmpl	0,1,0,2,0,-1,-1,-1,-1,-1,
622	NM_001168517	chr19	+	4878689	4885397	4880385	4883771	3	4878689,4880120,4883475,	4878805,4880398,4885397,	0	Zdhhc24	cmpl	cmpl	-1,0,1,
622	NM_001168516	chr19	+	4878667	4885397	4880385	4883771	3	4878667,4880120,4883475,	4878736,4880398,4885397,	0	Zdhhc24	cmpl	cmpl	-1,0,1,
614	NM_016921	chr19	-	3896049	3905230	3896113	3904701	20	3896049,3896269,3896603,3896794,3897037,3897467,3897757,3898547,3898717,3898979,3901890,3902343,3902630,3902881,3903045,3903339,3903508,3904216,3904584,3905074,	3896192,3896447,3896721,3896902,3897169,3897681,3897876,3898638,3898875,3899119,3902035,3902556,3902724,3902964,3903172,3903428,3903729,3904295,3904705,3905230,	0	Tcirg1	cmpl	cmpl	2,1,0,0,0,2,0,2,0,1,0,0,2,0,2,0,1,0,0,-1,
618	NR_045990	chr19	+	4439322	4448325	4448325	4448325	3	4439322,4443741,4447524,	4439389,4443788,4448325,	0	A930001C03Rik	unk	unk	-1,-1,-1,
681	NM_146698	chr19	+	12678165	12683845	12680109	12681048	3	12678165,12679083,12680080,	12678635,12679185,12683845,	0	Olfr1443	cmpl	cmpl	-1,-1,0,
681	NM_146697	chr19	+	12674178	12675243	12674206	12675145	1	12674178,	12675243,	0	Olfr1442	cmpl	cmpl	0,
688	NM_146696	chr19	+	13500545	13503292	13502344	13503292	2	13500545,13502319,	13500672,13503292,	0	Olfr1477	cmpl	cmpl	-1,0,
687	NM_146695	chr19	+	13410570	13411500	13410570	13411500	1	13410570,	13411500,	0	Olfr1469	cmpl	cmpl	0,
686	NM_146694	chr19	+	13341759	13342692	13341759	13342692	1	13341759,	13342692,	0	Olfr1466	cmpl	cmpl	0,
685	NM_146693	chr19	+	13190668	13191592	13190668	13191592	1	13190668,	13191592,	0	Olfr1462	cmpl	cmpl	0,
684	NM_146692	chr19	+	13063412	13064336	13063412	13064336	1	13063412,	13064336,	0	Olfr1454	cmpl	cmpl	0,
